Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Total_Revolving_Bal,Credit_Limit,Months_on_book,Total_Relationship_Count,Avg_Utilization_Ratio,Contacts_Count_12_mon,Months_Inactive_12_mon,Dependent_count,Cluster,Attrition_Flag
3018,60,0.538,1.229,733,34516.0,38,4,0.021,4,3,2,4,Existing Customer
1276,21,0.75,0.913,922,3346.0,53,4,0.276,3,3,1,0,Existing Customer
2115,24,0.263,1.203,0,34516.0,49,3,0.0,3,2,3,4,Attrited Customer
2660,51,0.759,1.36,1362,6660.0,28,5,0.205,4,2,2,2,Existing Customer
2115,59,0.439,0.732,1865,2234.0,20,5,0.835,3,2,1,2,Existing Customer
2955,66,0.941,0.699,704,9671.0,33,5,0.073,2,4,4,5,Existing Customer
2017,47,0.679,0.739,1479,6605.0,47,5,0.224,2,3,1,0,Existing Customer
1448,30,2.0,1.042,1898,3083.0,33,4,0.616,2,3,2,2,Existing Customer
1096,27,0.588,0.737,951,5456.0,31,5,0.174,2,1,2,3,Attrited Customer
1538,43,0.536,0.889,0,4394.0,14,4,0.0,2,1,4,5,Existing Customer
2250,39,0.857,1.248,1557,4088.0,44,5,0.381,4,1,1,0,Existing Customer
2067,42,0.355,0.758,0,3930.0,36,5,0.0,3,3,0,3,Existing Customer
1276,25,1.083,1.042,1147,4188.0,46,3,0.274,4,2,1,0,Existing Customer
2161,56,0.931,1.412,1998,3637.0,22,3,0.549,0,3,1,2,Existing Customer
2260,68,1.125,1.023,1147,11521.0,28,4,0.1,2,2,3,5,Existing Customer
1641,45,0.667,0.884,1667,2253.0,32,6,0.74,2,2,3,2,Existing Customer
2294,45,0.452,1.067,2080,2339.0,13,6,0.889,4,2,1,2,Existing Customer
1860,47,0.306,0.462,2517,30503.0,37,6,0.083,2,1,4,4,Existing Customer
2872,62,0.722,0.93,0,4596.0,36,5,0.0,2,3,2,5,Existing Customer
961,32,0.524,0.716,2517,5701.0,43,1,0.442,3,3,2,0,Attrited Customer
1765,40,0.6,0.678,0,3221.0,32,5,0.0,3,6,3,3,Existing Customer
1184,21,0.615,0.403,1142,3022.0,29,5,0.378,3,3,3,3,Existing Customer
2141,56,0.806,0.893,1609,2699.0,36,5,0.596,4,2,0,0,Existing Customer
1287,37,0.48,0.627,1624,2210.0,39,3,0.735,3,3,1,0,Existing Customer
1446,38,0.81,0.77,0,1438.3,49,5,0.0,4,3,2,3,Existing Customer
1555,45,0.552,0.677,1687,2041.0,36,3,0.827,4,3,2,2,Existing Customer
2006,58,0.568,0.767,1698,3250.0,34,4,0.522,2,2,1,0,Existing Customer
2152,50,0.471,0.713,1101,1643.0,13,6,0.67,4,3,0,2,Existing Customer
2183,60,1.069,0.791,0,34516.0,36,4,0.0,2,3,1,4,Existing Customer
1015,27,0.35,0.717,1164,29543.0,34,4,0.039,3,3,3,4,Attrited Customer
2973,63,0.969,1.209,0,3158.0,29,6,0.0,2,3,2,5,Existing Customer
1687,35,0.591,0.832,1999,2899.0,36,6,0.69,3,2,1,0,Existing Customer
2552,62,0.676,0.956,2160,2972.0,36,4,0.727,3,1,4,2,Existing Customer
1527,32,0.455,1.05,0,5645.0,23,6,0.0,2,2,3,3,Existing Customer
2171,58,0.758,0.854,1751,2463.0,36,6,0.711,2,3,2,2,Existing Customer
1501,40,0.739,0.8,0,1438.3,41,5,0.0,4,3,2,3,Existing Customer
2395,50,0.724,1.234,1477,34516.0,36,3,0.043,3,3,1,4,Existing Customer
1337,25,0.471,0.878,1601,2897.0,48,6,0.553,2,2,3,0,Existing Customer
1971,56,0.6,1.075,0,5391.0,36,4,0.0,0,2,0,5,Existing Customer
3946,74,0.574,0.661,2284,2870.0,36,5,0.796,4,2,0,0,Existing Customer
1870,45,0.667,0.926,2517,23959.0,25,3,0.105,4,2,3,4,Existing Customer
2171,35,1.059,1.342,2028,14918.0,25,5,0.136,2,2,3,4,Existing Customer
1472,37,0.762,0.573,1924,3590.0,29,3,0.536,2,3,2,2,Existing Customer
1941,51,0.417,0.511,0,2297.0,56,3,0.0,2,3,0,3,Existing Customer
2053,55,0.528,0.613,1710,25058.0,53,3,0.068,4,2,1,4,Existing Customer
911,26,1.0,0.826,396,7418.0,36,3,0.053,2,2,0,5,Attrited Customer
1315,23,0.278,0.538,0,3012.0,49,4,0.0,2,3,1,3,Existing Customer
1896,50,1.5,0.896,1721,4562.0,24,3,0.377,4,1,3,2,Existing Customer
2938,63,0.703,1.426,1529,10723.0,27,6,0.143,2,2,2,2,Existing Customer
2017,43,0.955,0.709,760,1578.0,36,6,0.482,3,2,2,0,Existing Customer
1969,41,0.367,0.537,1560,2094.0,49,4,0.745,4,2,0,0,Existing Customer
2420,50,0.613,1.168,0,4138.0,19,5,0.0,3,1,3,5,Existing Customer
1768,56,0.556,0.496,1904,5417.0,30,3,0.351,2,1,4,2,Existing Customer
1378,30,0.429,0.61,1047,34516.0,36,6,0.03,3,3,3,4,Existing Customer
1821,55,0.447,0.61,1968,9592.0,54,6,0.205,2,1,0,0,Existing Customer
2027,49,0.815,0.705,2145,8881.0,36,3,0.242,3,1,4,2,Existing Customer
1843,49,0.581,0.795,0,1438.3,54,3,0.0,4,3,0,3,Existing Customer
1536,39,0.773,1.169,1157,3893.0,33,3,0.297,3,3,2,2,Existing Customer
1424,37,0.028,0.459,799,3242.0,38,5,0.246,4,2,1,3,Existing Customer
1551,32,0.6,0.361,1392,6035.0,53,3,0.231,3,3,1,0,Existing Customer
2148,54,0.862,0.72,1846,17642.0,36,6,0.105,2,3,1,4,Existing Customer
2344,48,0.297,0.624,0,4327.0,15,6,0.0,3,3,1,3,Existing Customer
1028,26,0.3,0.64,0,34516.0,22,3,0.0,3,1,4,4,Attrited Customer
1775,55,1.037,0.667,1777,4852.0,32,5,0.366,3,1,2,2,Existing Customer
2539,50,1.273,0.821,1424,7147.0,28,5,0.199,3,3,2,2,Existing Customer
1754,45,0.5,0.75,1799,10320.0,27,6,0.174,3,3,1,3,Existing Customer
1894,56,0.556,0.744,2297,3297.0,49,4,0.697,2,2,0,0,Existing Customer
1456,30,0.667,0.655,807,9981.0,36,5,0.081,2,2,3,3,Existing Customer
1978,33,0.833,1.466,1092,3329.0,36,5,0.328,3,3,2,0,Existing Customer
1867,53,0.767,0.673,1993,5991.0,36,6,0.333,4,3,1,0,Existing Customer
1637,43,0.87,1.091,2517,3235.0,30,3,0.778,3,1,3,2,Existing Customer
1836,50,0.515,0.668,1063,6259.0,21,3,0.17,3,3,2,3,Existing Customer
1416,27,0.588,0.417,1616,2541.0,56,6,0.636,2,3,0,0,Existing Customer
1887,32,0.882,0.818,2517,21351.0,43,6,0.118,4,2,4,4,Existing Customer
1931,48,0.371,0.844,1471,8998.0,36,3,0.163,4,2,1,3,Existing Customer
1754,44,0.692,0.63,1600,10247.0,42,3,0.156,4,3,4,3,Existing Customer
1266,34,0.308,0.431,1655,20311.0,42,6,0.081,2,3,3,3,Existing Customer
1630,43,0.87,0.755,1997,33182.0,33,6,0.06,4,1,2,4,Existing Customer
1758,42,1.1,0.575,1252,1686.0,16,4,0.743,4,5,3,2,Existing Customer
870,24,0.5,0.635,855,4742.0,36,2,0.18,3,2,3,3,Attrited Customer
1712,48,0.548,1.175,1215,1726.0,36,5,0.704,3,1,3,2,Existing Customer
1114,34,0.545,0.522,1389,8420.0,56,4,0.165,4,2,0,0,Existing Customer
1952,50,0.667,0.657,1713,3352.0,49,4,0.511,4,3,0,0,Existing Customer
2089,60,0.579,0.79,2242,6648.0,39,5,0.337,2,2,4,2,Existing Customer
1362,33,0.269,0.537,1845,2335.0,36,4,0.79,3,3,3,2,Existing Customer
1888,42,0.448,0.756,1001,12397.0,27,4,0.081,2,3,3,3,Existing Customer
2243,43,0.483,1.212,708,1438.3,26,5,0.492,4,1,2,2,Existing Customer
3795,70,0.75,0.833,1601,2240.0,46,3,0.715,4,6,1,0,Existing Customer
1441,43,0.387,0.558,1161,5330.0,33,4,0.218,4,3,5,3,Existing Customer
1834,59,1.107,0.953,794,1795.0,51,3,0.442,3,3,1,0,Existing Customer
2170,51,0.962,1.111,1894,5741.0,47,3,0.33,4,1,2,0,Existing Customer
1585,40,0.905,0.502,1248,2002.0,39,4,0.623,3,3,1,0,Existing Customer
1484,36,0.636,0.556,1515,25662.0,19,6,0.059,2,3,1,4,Existing Customer
1541,29,0.318,0.506,1515,22103.0,36,3,0.069,4,1,2,3,Existing Customer
1975,40,0.6,1.028,0,1438.3,17,3,0.0,3,1,5,5,Existing Customer
1044,28,0.273,0.912,0,12355.0,30,5,0.0,2,2,3,3,Attrited Customer
1944,42,0.75,0.782,0,2000.0,29,4,0.0,2,1,3,5,Existing Customer
2094,36,0.333,0.558,1354,8713.0,17,6,0.155,2,2,0,3,Existing Customer
1846,56,0.647,0.597,0,9165.0,36,4,0.0,4,1,5,3,Existing Customer
3320,55,0.774,0.714,631,11583.0,31,5,0.054,2,1,1,5,Existing Customer
1805,53,0.606,0.805,702,1438.3,32,4,0.488,3,3,4,2,Existing Customer
808,30,0.111,0.331,0,8149.0,20,3,0.0,2,1,2,3,Attrited Customer
820,21,0.75,0.687,1151,3616.0,29,3,0.318,3,2,3,3,Attrited Customer
1414,27,0.929,0.691,2222,8434.0,31,6,0.263,4,2,3,2,Existing Customer
1649,59,0.513,0.704,1311,9791.0,25,3,0.134,2,3,3,3,Existing Customer
2497,74,0.609,0.703,1945,8444.0,24,5,0.23,3,2,2,2,Existing Customer
2104,44,0.467,1.119,1003,2228.0,43,3,0.45,4,1,4,2,Existing Customer
903,29,0.526,0.642,0,12211.0,36,5,0.0,1,1,3,3,Attrited Customer
1445,38,0.31,0.702,0,1438.3,51,6,0.0,4,3,0,3,Existing Customer
1724,24,0.714,0.973,1038,1586.0,31,5,0.654,3,3,3,2,Existing Customer
1300,31,0.55,0.952,1045,2247.0,37,3,0.465,3,3,3,3,Existing Customer
2688,60,0.714,0.996,1584,2789.0,30,3,0.568,3,4,3,2,Existing Customer
1798,45,0.731,0.607,0,4241.0,53,3,0.0,3,2,0,3,Existing Customer
1489,29,0.526,0.861,1892,8398.0,29,5,0.225,3,1,1,0,Existing Customer
1334,40,0.429,0.413,768,4112.0,36,6,0.187,3,3,3,3,Existing Customer
2492,71,0.614,0.794,1383,15578.0,22,6,0.089,3,2,2,4,Existing Customer
1395,43,0.955,0.637,1636,4008.0,36,6,0.408,2,2,4,2,Existing Customer
1191,28,0.647,0.668,0,12766.0,50,6,0.0,3,1,1,3,Existing Customer
2331,56,0.436,0.605,1129,3438.0,24,5,0.328,4,2,2,3,Existing Customer
1288,29,0.45,0.853,2446,16692.0,43,3,0.147,2,1,4,4,Existing Customer
3040,56,0.931,1.749,1639,4066.0,36,4,0.403,2,2,2,2,Existing Customer
1999,44,0.571,0.685,0,13080.0,30,5,0.0,3,2,3,3,Existing Customer
2334,61,0.452,0.448,1070,1934.0,36,4,0.553,2,1,0,0,Existing Customer
1931,57,0.425,0.615,2517,3230.0,36,6,0.779,3,2,0,0,Existing Customer
1967,40,0.538,0.576,1699,3615.0,36,6,0.47,4,2,0,0,Existing Customer
3193,62,1.48,1.234,0,1801.0,36,4,0.0,2,2,0,5,Existing Customer
2514,64,0.455,0.586,1567,2665.0,36,4,0.588,4,3,0,0,Existing Customer
1504,35,0.296,0.492,2517,28822.0,25,5,0.087,2,3,4,4,Existing Customer
1399,36,0.5,0.501,1158,14632.0,24,6,0.079,2,3,2,3,Existing Customer
1731,41,0.519,0.987,1314,6715.0,36,5,0.196,3,3,0,0,Existing Customer
1309,40,0.6,0.489,1761,6658.0,46,3,0.264,3,2,2,0,Existing Customer
1309,30,1.0,0.412,1219,3360.0,44,6,0.363,3,2,2,0,Existing Customer
1800,41,0.519,1.025,0,14853.0,14,5,0.0,2,3,1,5,Existing Customer
2935,62,0.879,1.254,1212,4800.0,25,3,0.252,4,3,2,2,Existing Customer
2280,49,0.4,0.794,0,4610.0,17,5,0.0,2,1,0,3,Existing Customer
1114,33,0.65,0.663,981,1438.3,36,3,0.682,4,3,4,3,Existing Customer
1797,44,1.2,0.813,1211,8377.0,42,6,0.145,3,4,0,0,Existing Customer
1776,44,0.571,0.875,1719,4147.0,30,4,0.415,4,5,3,3,Existing Customer
1194,30,0.765,0.866,2207,2644.0,55,6,0.835,4,1,0,0,Existing Customer
1921,37,0.85,1.113,1631,13355.0,30,5,0.122,4,3,1,4,Existing Customer
3228,67,0.763,1.007,1887,3251.0,36,5,0.58,2,2,2,2,Existing Customer
2623,74,1.114,0.764,950,2100.0,36,5,0.452,4,3,2,2,Existing Customer
2425,54,0.8,0.903,1401,3566.0,50,5,0.393,4,3,1,0,Existing Customer
1388,35,0.667,0.846,1111,14915.0,49,5,0.074,3,1,4,4,Existing Customer
1697,40,1.105,0.877,0,13003.0,27,3,0.0,4,1,2,5,Existing Customer
1375,30,0.364,0.485,1424,2492.0,55,5,0.571,4,3,0,0,Existing Customer
2013,41,0.367,0.744,1180,1758.0,31,5,0.671,3,2,4,2,Existing Customer
1995,53,0.262,0.551,1604,5510.0,23,3,0.291,2,2,1,3,Existing Customer
1466,41,1.278,0.542,1646,17196.0,36,3,0.096,2,1,5,4,Existing Customer
2494,58,0.706,1.058,1697,5877.0,46,6,0.289,3,1,0,0,Existing Customer
1501,35,0.667,0.632,0,7667.0,31,5,0.0,2,1,0,3,Existing Customer
2077,47,0.679,0.932,1865,2939.0,24,4,0.635,3,1,2,2,Existing Customer
1002,21,1.333,0.64,1348,5898.0,31,6,0.229,4,1,1,0,Existing Customer
1879,34,0.7,0.65,0,19995.0,33,5,0.0,4,3,3,3,Existing Customer
3567,73,0.622,0.695,2080,2773.0,36,6,0.75,4,1,0,0,Existing Customer
1599,47,0.808,0.749,2310,3323.0,44,4,0.695,4,2,3,0,Existing Customer
1989,33,0.571,0.777,799,16049.0,28,5,0.05,3,3,0,3,Existing Customer
1802,34,0.478,0.726,1236,3601.0,28,3,0.343,2,4,1,3,Existing Customer
2440,48,0.846,1.515,1385,2307.0,25,3,0.6,2,2,3,2,Existing Customer
1505,31,0.824,0.514,1175,3742.0,36,4,0.314,3,3,1,3,Existing Customer
2171,45,0.875,1.493,869,2937.0,29,6,0.296,3,3,3,2,Existing Customer
1292,37,0.762,0.431,2517,3209.0,26,6,0.784,4,1,3,2,Existing Customer
1422,30,0.579,0.529,2169,12554.0,53,6,0.173,4,1,0,0,Existing Customer
1673,44,0.257,0.578,0,4702.0,34,6,0.0,4,3,1,3,Existing Customer
2482,57,0.727,0.655,2324,5645.0,14,4,0.412,4,2,1,2,Existing Customer
1659,39,1.167,1.053,1889,14308.0,13,3,0.132,4,3,0,4,Existing Customer
1544,44,0.517,0.508,695,4882.0,46,3,0.142,3,1,2,3,Attrited Customer
1345,34,0.619,0.535,0,33405.0,29,3,0.0,3,3,4,4,Existing Customer
2901,59,1.36,1.595,2220,2700.0,27,3,0.822,2,1,1,2,Existing Customer
3396,64,0.778,0.762,2381,2934.0,37,5,0.812,4,1,2,2,Existing Customer
2611,64,0.455,0.828,0,1548.0,14,3,0.0,3,2,2,5,Existing Customer
2305,33,0.941,0.929,2409,5525.0,36,5,0.436,2,2,3,2,Existing Customer
2155,61,0.605,0.837,1521,5750.0,36,5,0.265,4,2,3,2,Existing Customer
1535,38,0.267,0.487,1547,27157.0,36,6,0.057,2,3,2,4,Existing Customer
2526,54,0.588,0.774,0,12830.0,36,5,0.0,4,2,3,3,Existing Customer
1766,45,0.667,1.018,1999,5530.0,41,3,0.361,3,1,4,2,Existing Customer
2346,51,1.04,1.042,1474,2684.0,30,6,0.549,3,2,2,2,Existing Customer
1651,32,1.0,0.779,1400,2437.0,49,3,0.574,2,1,1,0,Existing Customer
2491,64,1.0,0.88,1397,3827.0,24,3,0.365,4,2,0,2,Existing Customer
2935,65,0.711,1.095,1658,34516.0,35,5,0.048,2,2,4,4,Existing Customer
1872,34,1.125,0.942,1101,5940.0,33,6,0.185,4,3,2,0,Existing Customer
1424,38,0.583,0.512,0,13162.0,32,2,0.0,2,3,3,3,Attrited Customer
1861,51,0.7,0.689,1357,1963.0,37,3,0.691,4,2,2,0,Existing Customer
1524,42,0.615,0.682,1022,18713.0,54,4,0.055,3,3,3,4,Existing Customer
1920,34,0.619,0.62,1435,3023.0,22,3,0.475,4,1,2,2,Existing Customer
1468,34,0.619,0.705,1798,6103.0,53,4,0.295,2,1,3,0,Existing Customer
1903,40,0.538,1.197,2517,10607.0,34,3,0.237,3,3,5,2,Existing Customer
2471,60,0.875,0.833,2517,2917.0,24,3,0.863,4,3,0,2,Existing Customer
2350,55,0.774,1.129,1018,34516.0,30,4,0.029,4,3,4,4,Existing Customer
3002,58,0.812,0.721,2517,25197.0,42,6,0.1,2,2,1,4,Existing Customer
1210,25,1.273,0.567,1815,2743.0,36,5,0.662,4,2,2,0,Existing Customer
1289,36,0.5,0.478,1233,4111.0,32,5,0.3,4,2,2,3,Existing Customer
2781,59,0.844,0.641,948,3667.0,18,5,0.259,2,3,0,5,Existing Customer
4605,86,0.623,0.89,1800,3178.0,33,4,0.566,4,2,3,2,Existing Customer
1096,29,0.526,0.906,0,5674.0,22,2,0.0,2,3,3,3,Attrited Customer
2493,44,0.913,1.31,1278,11444.0,36,5,0.112,4,3,2,4,Existing Customer
2144,41,0.577,0.742,0,1438.3,36,3,0.0,3,1,1,3,Existing Customer
1294,26,0.529,0.689,1597,6387.0,34,4,0.25,4,3,2,3,Existing Customer
1914,46,0.769,0.904,1792,5657.0,20,4,0.317,3,3,2,2,Existing Customer
1395,37,0.609,0.921,0,11827.0,54,5,0.0,2,3,0,0,Existing Customer
2073,47,0.516,0.982,1589,2608.0,37,5,0.609,3,3,2,0,Existing Customer
1433,38,1.0,0.543,2076,3203.0,37,4,0.648,4,5,2,0,Existing Customer
2574,72,0.756,1.038,1540,34516.0,36,3,0.045,3,1,2,4,Existing Customer
1392,33,0.737,0.693,2457,2472.0,38,5,0.994,3,3,3,2,Existing Customer
1352,37,0.37,0.653,1173,2147.0,43,4,0.546,3,3,3,3,Existing Customer
1924,48,0.92,0.994,2044,3416.0,44,4,0.598,3,1,3,0,Existing Customer
2742,42,2.0,1.787,791,8058.0,36,5,0.098,4,2,2,5,Existing Customer
1296,31,0.348,0.518,2281,3410.0,43,5,0.669,2,1,5,2,Existing Customer
1780,44,0.76,0.721,0,19044.0,37,5,0.0,3,2,3,4,Existing Customer
2229,45,1.045,0.59,798,1606.0,30,4,0.497,4,2,2,2,Existing Customer
1425,33,0.65,0.459,856,24336.0,36,4,0.035,2,2,4,4,Existing Customer
2523,71,0.775,0.803,1327,5030.0,20,5,0.264,3,2,1,2,Existing Customer
1897,39,0.393,0.75,0,24577.0,24,6,0.0,2,3,3,4,Existing Customer
2255,48,0.5,0.556,1195,3517.0,13,6,0.34,4,3,0,3,Existing Customer
1568,51,0.5,0.972,636,7400.0,36,3,0.086,3,2,3,3,Existing Customer
2116,63,0.575,0.698,1391,2956.0,36,6,0.471,4,2,2,0,Existing Customer
1015,36,0.44,0.759,0,3578.0,30,3,0.0,4,1,5,3,Attrited Customer
1133,28,0.4,0.967,507,12778.0,36,1,0.04,2,3,2,3,Attrited Customer
1371,38,0.407,0.615,1536,1942.0,45,3,0.791,4,3,2,0,Existing Customer
2337,69,0.605,0.833,789,29961.0,26,5,0.026,3,1,2,4,Existing Customer
1546,41,0.577,0.712,0,33791.0,35,5,0.0,4,3,4,4,Existing Customer
1682,39,0.95,0.55,2018,17657.0,34,5,0.114,2,0,5,4,Existing Customer
1419,36,0.8,0.441,2415,2821.0,44,4,0.856,2,3,1,0,Existing Customer
2139,70,0.556,0.865,787,1479.0,47,6,0.532,4,3,0,0,Existing Customer
2492,55,0.897,1.623,0,1438.3,36,3,0.0,2,3,2,5,Existing Customer
3045,56,0.697,1.186,1766,6859.0,27,5,0.257,4,1,4,2,Existing Customer
2406,65,0.857,1.055,1568,3404.0,36,3,0.461,3,2,3,2,Existing Customer
1833,27,0.588,0.766,1695,2158.0,15,4,0.785,3,1,0,2,Existing Customer
1483,36,0.5,0.691,666,1890.0,22,1,0.352,1,2,3,3,Attrited Customer
1698,43,0.483,0.361,890,18386.0,36,6,0.048,4,3,1,3,Attrited Customer
1935,47,1.474,0.839,2013,3602.0,36,5,0.559,4,5,2,0,Existing Customer
1514,51,0.645,0.666,1049,3766.0,34,6,0.279,3,1,1,0,Existing Customer
2905,63,0.969,1.399,2057,5634.0,32,4,0.365,4,2,2,2,Existing Customer
1638,41,0.519,1.235,2517,3126.0,29,4,0.805,4,2,2,2,Existing Customer
1640,37,0.762,1.081,786,3017.0,42,6,0.261,2,1,2,0,Existing Customer
2456,55,0.571,1.304,1491,5478.0,26,6,0.272,3,2,0,0,Existing Customer
2601,52,0.733,1.214,1177,13046.0,20,6,0.09,4,3,1,4,Existing Customer
2279,33,1.357,1.8,1146,8687.0,31,5,0.132,2,3,2,5,Existing Customer
2043,52,0.793,0.669,1421,6174.0,40,6,0.23,4,2,2,0,Existing Customer
2312,61,0.649,0.842,0,5655.0,13,5,0.0,2,1,0,5,Existing Customer
2056,49,0.633,0.904,1784,5397.0,26,5,0.331,3,2,0,0,Existing Customer
1693,37,1.056,0.696,0,28465.0,46,6,0.0,2,1,2,4,Existing Customer
2668,51,0.545,1.563,2441,3444.0,27,4,0.709,4,2,3,2,Existing Customer
1732,35,1.059,0.677,1267,2104.0,37,4,0.602,3,1,3,2,Existing Customer
1916,58,0.526,0.657,2048,15610.0,37,4,0.131,4,1,3,4,Existing Customer
1531,48,0.655,1.169,1356,34516.0,32,3,0.039,3,2,4,4,Existing Customer
2413,41,0.708,1.274,1590,16912.0,22,3,0.094,4,1,1,4,Existing Customer
1523,35,0.667,0.67,1864,5462.0,53,4,0.341,3,1,0,0,Existing Customer
2909,64,0.488,0.777,1434,2868.0,27,5,0.5,2,1,2,2,Existing Customer
1642,36,0.636,0.727,1580,2685.0,22,5,0.588,3,1,1,2,Existing Customer
1834,43,1.263,1.027,1365,5238.0,36,5,0.261,2,1,3,2,Existing Customer
1874,38,0.52,0.768,2029,4561.0,22,4,0.445,4,2,3,2,Existing Customer
1452,37,0.276,0.322,985,13091.0,39,3,0.075,3,2,2,3,Existing Customer
1355,34,0.619,0.602,1274,10826.0,51,3,0.118,3,3,0,0,Existing Customer
2625,45,0.364,0.606,1876,2600.0,13,4,0.722,2,2,0,2,Existing Customer
2047,41,0.864,1.021,0,2561.0,35,6,0.0,4,3,5,5,Existing Customer
1712,37,0.609,0.709,1060,7087.0,36,3,0.15,2,2,1,3,Existing Customer
1969,46,1.3,0.975,2517,34516.0,36,6,0.073,2,3,4,4,Existing Customer
1720,42,0.556,0.593,1390,10266.0,32,3,0.135,4,2,1,3,Existing Customer
1954,43,0.344,0.666,723,1553.0,36,3,0.466,3,3,1,3,Existing Customer
1644,45,0.731,0.856,0,6732.0,23,4,0.0,4,2,2,3,Existing Customer
1478,33,0.5,0.834,1702,12181.0,37,3,0.14,2,1,2,3,Existing Customer
1739,35,0.842,0.815,0,7056.0,27,3,0.0,2,1,3,5,Existing Customer
2290,62,0.632,0.61,0,14365.0,25,6,0.0,2,1,1,5,Existing Customer
2147,41,0.519,0.707,829,11473.0,36,3,0.072,4,2,0,3,Existing Customer
1339,29,0.381,0.488,2517,23996.0,38,5,0.105,4,2,1,4,Existing Customer
1825,31,0.348,0.807,1789,2998.0,33,4,0.597,4,2,2,0,Existing Customer
1676,41,0.783,0.944,1232,30011.0,36,6,0.041,2,2,1,4,Existing Customer
2503,40,0.667,1.156,1553,2405.0,31,6,0.646,3,3,1,0,Existing Customer
1946,37,0.542,0.864,1291,21927.0,26,3,0.059,2,4,1,4,Existing Customer
1839,33,0.833,0.73,1851,3906.0,36,4,0.474,2,1,1,0,Existing Customer
2192,58,0.657,0.727,606,10029.0,27,5,0.06,3,3,1,3,Existing Customer
2747,42,0.448,1.52,1504,4934.0,30,3,0.305,4,3,2,2,Existing Customer
2685,71,0.511,0.771,1452,13882.0,15,5,0.105,2,2,2,4,Existing Customer
2595,56,0.333,0.863,0,2347.0,13,6,0.0,2,3,0,3,Existing Customer
1657,38,0.52,0.73,1223,4116.0,24,4,0.297,2,2,1,3,Existing Customer
3151,67,0.595,0.673,625,13904.0,36,4,0.045,2,1,2,5,Existing Customer
1440,37,0.423,0.506,2016,32558.0,43,4,0.062,4,2,1,4,Existing Customer
1273,33,0.375,0.492,1860,12902.0,44,4,0.144,2,1,2,3,Existing Customer
1804,38,0.583,0.692,1144,2509.0,36,4,0.456,4,1,4,3,Existing Customer
1200,28,0.647,0.669,2149,2484.0,22,3,0.865,3,3,1,2,Existing Customer
2469,67,0.811,0.565,0,2780.0,36,5,0.0,3,1,3,5,Existing Customer
1715,35,1.188,1.011,1826,5219.0,34,6,0.35,4,2,2,0,Existing Customer
1486,32,0.143,0.513,1381,18102.0,36,6,0.076,4,3,4,3,Existing Customer
1885,55,0.528,0.734,0,4532.0,18,4,0.0,4,3,0,3,Existing Customer
2390,62,0.722,1.019,1431,22399.0,28,4,0.064,2,2,2,4,Existing Customer
2153,58,0.568,0.779,2498,4489.0,34,6,0.556,3,5,1,0,Existing Customer
2461,68,0.838,0.708,514,10329.0,25,4,0.05,4,1,2,5,Existing Customer
1569,39,1.053,0.728,1272,2637.0,36,4,0.482,3,2,1,0,Existing Customer
1662,32,0.391,0.904,1384,1864.0,22,4,0.742,2,1,0,2,Existing Customer
1901,33,0.833,1.075,1917,13276.0,47,6,0.144,3,3,2,0,Existing Customer
2498,60,1.0,0.623,1033,1935.0,25,5,0.534,3,3,1,2,Existing Customer
1900,28,0.556,1.047,891,6784.0,37,5,0.131,4,2,4,3,Existing Customer
1859,33,0.571,0.788,1880,19127.0,36,4,0.098,4,2,2,4,Existing Customer
1327,30,0.304,0.488,1551,32641.0,37,5,0.048,3,2,2,4,Existing Customer
1397,43,0.483,0.436,847,1438.3,47,5,0.589,4,3,1,0,Existing Customer
1773,42,0.556,0.886,1929,2417.0,31,5,0.798,2,2,1,2,Existing Customer
1388,27,0.929,0.92,2266,19259.0,34,4,0.118,3,1,2,4,Existing Customer
2069,54,0.742,0.569,2396,3796.0,50,6,0.631,2,2,3,0,Existing Customer
1471,37,0.542,0.582,1744,4042.0,22,6,0.431,4,1,5,2,Existing Customer
2902,64,0.641,1.065,1063,17603.0,34,3,0.06,2,1,5,4,Existing Customer
1017,25,0.562,0.574,2077,2894.0,46,6,0.718,4,1,2,0,Existing Customer
1740,43,0.536,0.675,1956,16730.0,26,2,0.117,2,1,5,4,Existing Customer
2614,79,0.646,0.625,1843,3282.0,27,6,0.562,2,3,0,2,Existing Customer
2135,48,0.846,1.266,1217,15815.0,41,4,0.077,2,2,2,4,Existing Customer
2099,34,0.417,0.576,957,1672.0,21,6,0.572,3,2,0,3,Existing Customer
1914,45,0.5,0.743,1595,8121.0,36,4,0.196,3,3,3,3,Existing Customer
1670,30,0.765,0.868,2435,3182.0,26,4,0.765,4,1,2,2,Existing Customer
1233,35,0.4,0.509,1928,3182.0,49,5,0.606,4,1,0,0,Existing Customer
1309,38,0.462,0.911,0,5061.0,36,6,0.0,4,2,1,3,Attrited Customer
3014,58,0.706,1.103,1898,6224.0,28,5,0.305,3,3,4,2,Existing Customer
3306,71,0.972,1.465,1769,2735.0,36,6,0.647,3,1,0,0,Existing Customer
1219,35,1.333,0.6,1867,2464.0,36,6,0.758,4,1,4,2,Existing Customer
1897,50,1.083,0.907,1875,3477.0,33,4,0.539,2,3,3,2,Existing Customer
1841,46,0.533,0.612,2076,3242.0,24,5,0.64,2,2,2,2,Existing Customer
1772,53,0.559,0.676,1314,27858.0,41,3,0.047,4,1,1,4,Existing Customer
